2,322;2,592;2,931;3,465;3,737;3,959;4,193;4,377;4,592;4,779;4,945;5,121;5,15
2,306;2,609;2,911;3,528;3,716;3,959;4,155;4,377;4,573;4,779;4,92;5,121;5,15
2,063;2,354;2,645;2,971;3,528;3,758;3,977;4,174;4,377;4,573;4,753;4,945;5,121
2,006;2,37;2,627;2,931;3,511;3,758;3,995;4,174;4,377;4,573;4,779;4,971;5,097
1,964;2,37;2,609;2,951;3,446;3,716;3,977;4,213;4,377;4,552;4,729;4,945;5,121
1,95;2,354;2,609;2,931;3,528;3,716;3,959;4,235;4,356;4,573;4,779;4,92;5,121
1,923;2,338;2,627;2,931;3,421;3,737;3,995;4,193;4,397;4,573;4,802;4,971;5,15
1,896;2,322;2,627;2,951;3,528;3,758;3,959;4,174;4,377;4,573;4,779;4,945;5,097
1,896;2,338;2,627;2,951;3,465;3,737;3,959;4,174;4,377;4,552;4,753;4,945;5,172
1,909;2,354;2,609;2,931;3,446;3,737;3,959;4,193;4,377;4,573;4,729;4,945;5,121
1,978;2,322;2,645;3,012;3,511;3,737;3,959;4,235;4,377;4,573;4,753;4,945;5,097
2,02;2,338;2,645;2,992;3,421;3,737;3,959;4,213;4,377;4,573;4,753;4,945;5,15
2,063;2,258;2,609;2,951;3,555;3,716;3,995;4,193;4,377;4,592;4,753;4,971;5,121
2,078;2,29;2,609;2,971;3,446;3,716;3,977;4,155;4,422;4,592;4,779;4,945;5,097
2,063;2,274;2,627;2,931;3,488;3,737;3,934;4,155;4,377;4,592;4,779;4,971;5,097
2,049;2,243;2,627;2,951;3,488;3,737;3,959;4,213;4,397;4,573;4,753;4,992;5,121
1,992;2,274;2,627;2,931;3,421;3,737;3,959;4,213;4,422;4,573;4,753;4,971;5,15
1,937;2,274;2,645;2,951;3,555;3,758;3,917;4,235;4,377;4,573;4,779;4,945;5,097
1,909;2,258;2,645;2,992;3,465;3,716;3,995;4,174;4,356;4,552;4,753;4,971;5,097
1,909;2,322;2,627;2,931;3,528;3,716;3,959;4,174;4,397;4,573;4,753;4,971;5,121
1,909;2,258;2,627;2,951;3,465;3,716;3,959;4,213;4,397;4,592;4,753;4,945;5,121
1,923;2,322;2,609;2,911;3,488;3,737;3,977;4,235;4,377;4,573;4,729;4,945;5,15
1,964;2,274;2,645;2,911;3,528;3,737;3,995;4,235;4,377;4,573;4,779;4,971;5,15
1,992;2,338;2,609;2,951;3,446;3,716;3,959;4,174;4,356;4,592;4,779;4,945;5,121
2,049;2,306;2,609;2,891;3,528;3,737;3,934;4,155;4,422;4,573;4,779;4,971;5,121
2,078;2,354;2,627;2,992;3,511;3,716;3,959;4,174;4,397;4,573;4,779;4,971;5,121
2,078;2,338;2,627;2,931;3,446;3,737;3,977;4,193;4,377;4,53;4,753;4,992;5,121
2,063;2,274;2,627;2,911;3,528;3,737;3,977;4,213;4,356;4,616;4,753;4,945;5,15
2,049;2,338;2,627;2,992;3,465;3,737;3,977;4,193;4,377;4,573;4,729;4,945;5,121
2,006;2,258;2,609;2,992;3,465;3,716;3,995;4,155;4,356;4,573;4,729;5,021;5,15
1,964;2,338;2,645;3,012;3,511;3,737;3,934;4,174;4,377;4,573;4,753;4,971;5,097
1,882;2,306;2,627;3,033;3,446;3,737;3,934;4,213;4,397;4,573;4,802;4,992;5,15
1,909;2,354;2,664;2,951;3,488;3,716;3,995;4,193;4,356;4,592;4,779;4,945;5,15
1,992;2,306;2,627;2,992;3,465;3,737;3,934;4,193;4,397;4,573;4,753;4,971;5,121
2,063;2,354;2,592;2,951;3,446;3,697;3,959;4,155;4,377;4,616;4,729;4,971;5,097
2,078;2,306;2,609;2,931;3,528;3,737;3,977;4,193;4,377;4,592;4,753;4,945;5,121
2,063;2,258;2,627;2,911;3,488;3,737;3,934;4,235;4,377;4,592;4,753;4,971;5,15
1,992;2,338;2,627;2,931;3,528;3,737;3,934;4,193;4,356;4,573;4,729;5,021;5,15
1,964;2,274;2,645;2,931;3,528;3,716;3,977;4,155;4,397;4,573;4,753;4,971;5,121
1,923;2,354;2,609;2,911;3,446;3,737;3,959;4,155;4,397;4,573;4,753;4,992;5,121
1,896;2,274;2,592;2,931;3,528;3,758;3,959;4,213;4,334;4,573;4,802;4,971;5,15
1,896;2,306;2,627;2,931;3,488;3,737;3,995;4,213;4,356;4,592;4,779;5,021;5,121
1,95;2,258;2,609;2,931;3,465;3,758;3,977;4,174;4,397;4,592;4,753;4,992;5,15
2,063;2,29;2,627;3,012;3,555;3,758;3,959;4,174;4,377;4,592;4,753;4,992;5,121
2,092;2,29;2,627;2,911;3,465;3,737;3,959;4,174;4,377;4,573;4,779;4,971;5,121
2,049;2,322;2,627;3,012;3,511;3,716;3,959;4,213;4,377;4,592;4,779;4,971;5,15
1,992;2,29;2,609;2,951;3,488;3,737;3,977;4,213;4,377;4,552;4,779;4,971;5,15
1,95;2,243;2,627;2,911;3,465;3,737;3,977;4,193;4,397;4,573;4,753;4,971;5,15
1,909;2,274;2,627;2,992;3,511;3,737;3,977;4,174;4,377;4,616;4,802;4,992;5,121
1,923;2,243;2,627;2,951;3,446;3,697;3,959;4,174;4,377;4,592;4,779;4,971;5,15
1,937;2,306;2,627;2,992;3,511;3,758;3,995;4,193;4,377;4,616;4,779;4,971;5,15
2,006;2,258;2,645;2,951;3,511;3,737;3,977;4,213;4,377;4,592;4,753;4,945;5,121
2,078;2,274;2,645;2,992;3,446;3,737;3,934;4,174;4,377;4,592;4,753;4,971;5,121
2,078;2,243;2,609;2,992;3,528;3,716;3,959;4,174;4,377;4,573;4,753;4,992;5,121
2,049;2,306;2,609;3,012;3,488;3,737;3,959;4,213;4,397;4,573;4,779;4,971;5,121
1,896;2,258;2,627;2,992;3,528;3,737;3,959;4,193;4,397;4,552;4,753;4,971;5,121
1,896;2,322;2,609;2,951;3,555;3,716;3,995;4,155;4,397;4,573;4,779;4,971;5,2
1,95;2,243;2,609;3,012;3,446;3,716;3,977;4,155;4,377;4,552;4,753;4,971;5,121
2,034;2,306;2,645;2,951;3,511;3,716;3,995;4,235;4,377;4,592;4,753;4,945;5,172
